trip_type,trip_date,trip_time,duration_sec,distance_miles,pickup_location,dropoff_location,points,tip_amount,pickup_wait_min,surge_amount
UberX,2026-04-02,2:03 PM,1450,3.61,"Montauk Ave, Brooklyn, Ny, Us","Prospect Pl, Brooklyn, Ny, Us",1,0,0,0
Electric,2026-04-02,1:11 PM,1200,3.58,"Eldert St, Brooklyn, Ny, Us","Barbey St, Brooklyn, Ny, Us",1,0,0,0
UberX,2026-03-31,8:21 PM,309,1.1,"1600 Sheepshead Bay Rd, Brooklyn, Ny, Us","Parkway Ct, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-03-31,8:09 PM,311,0.73,"Sheepshead Bay Rd, Brooklyn, Ny, Us","Sheepshead Bay Rd, New York, Ny, Us",5,3,0,0
UberX,2026-03-31,7:36 PM,1847,10.47,"Rockaway Ave, Brooklyn, Ny, Us","E 12Th St, Brooklyn, Ny, Us",5,0,0,0
Share,2026-03-31,7:27 PM,368,1.3,"Junius St, Brooklyn, Ny, Us","Pitkin Ave, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-03-31,7:03 PM,1074,2.65,"Gateway Dr, Brooklyn, Ny, Us","Osborn St, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-03-31,6:37 PM,0,0,"Vandalia Ave, Brooklyn, Ny, Us","Vandalia Ave, Brooklyn, Ny, Us",0,0,0,0
UberX Priority,2026-03-31,6:28 PM,295,0.88,"Sutter Ave, Brooklyn, Ny, Us","Loring Ave, Brooklyn, Ny, Us",5,0,0.8,0
UberX,2026-03-31,6:02 PM,536,1.61,"Lefferts Blvd, South Richmond Hill, Ny, Us","129Th St, South Ozone Park, Ny, Us",5,0,0,0
UberX,2026-03-31,5:00 PM,503,0.88,"84Th Ave, Richmond Hill, Ny, Us","Audley St, Kew Gardens, Ny, Us",5,0,0,0
UberX,2026-03-31,4:31 PM,1322,2.75,"159Th St, Flushing, Ny, Us","Grosvenor Rd, Richmond Hill, Ny, Us",5,0,0,0
UberX,2026-03-31,3:53 PM,1800,7.48,"125Th St, College Point, Ny, Us","Utopia Pkwy, Queens, Ny, Us",5,0,0,0
UberX,2026-03-31,3:20 PM,1418,5.58,"Terminal B, Flushing, Ny, Us","117Th St, College Point, Ny, Us",5,0,0.4,0
Electric,2026-03-31,2:30 PM,2728,10.09,"W 38Th St, New York, Ny, Us","Terminal B, Laguardia Airport (Lga), Queens, Ny, Us",5,17.45,0,0
UberX Priority,2026-03-31,2:04 PM,1144,2.87,"Franklin St, New York, Ny, Us","W 33Rd St, New York City, Ny, Us",1,0,0,0
UberX,2026-03-31,1:43 PM,744,3.07,"Atlantic Ave, Brooklyn, Ny, Us","Broadway, New York City, Ny, Us",1,0,0,0
UberX,2026-03-31,12:42 PM,2935,6.71,"Crescent St, Brooklyn, Ny, Us","Atlantic Ave, Brooklyn, Ny, Us",1,0,0,0
Electric,2026-03-30,8:14 PM,498,2.73,"E 233Rd St, Bronx, Ny, Us","N Macquesten Pkwy, Mt Vernon, Ny, Us",5,0,0,0
UberX,2026-03-30,7:51 PM,1140,8.24,"W 137Th St, New York, Ny, Us","E 236Th St, Bronx, Ny, Us",5,0,0,0
UberX,2026-03-30,7:18 PM,749,2.65,"W 152Nd St, New York, Ny, Us","Richman Plz, Bronx, Ny, Us",5,0,0,0
UberX,2026-03-30,6:53 PM,775,3.78,"Vermilyea Ave, New York, Ny, Us","Dr Martin Luther King Jr Blvd, Bronx, Ny, Us",5,0,0,0
UberX,2026-03-30,6:00 PM,1830,9.18,"E 161St St, Bronx, Ny, Us","Post St, Yonkers, Ny, Us",5,0,0,0
UberX,2026-03-30,5:31 PM,911,1.17,"Westchester Ave, Bronx, Ny, Us","Grand Concourse, Bronx, Ny, Us",5,0,0.75,0
UberX,2026-03-30,5:04 PM,849,3.96,"Taylor Ave, Bronx, Ny, Us","Trinity Ave, Bronx, Ny, Us",5,0,1.64,0
Electric,2026-03-30,4:08 PM,3026,16.31,"W Broadway, New York, Ny, Us","Taylor Ave, Bronx, Ny, Us",5,0,0,0
UberX,2026-03-30,3:29 PM,1103,2.78,"Park Ave, New York, Ny, Us","Leonard St, New York, Ny, Us",5,3.61,0,0
UberX,2026-03-30,2:39 PM,644,1.55,"43Rd Ave, Sunnyside, Ny, Us","30Th St, Astoria, Ny, Us",1,0,0,0
UberX,2026-03-30,1:58 PM,1667,4.42,"Bleecker St, Ridgewood, Ny, Us","28Th St, Long Island City, Ny, Us",1,0,0,0
UberX,2026-03-30,1:44 PM,650,1.7,"Irving Ave, Brooklyn, Ny, Us","Fresh Pond Rd, Ridgewood, Ny, Us",1,0,0,0
UberX,2026-03-30,1:12 PM,698,1.99,"Schaefer St, Brooklyn, Ny, Us","Wyckoff Ave, Brooklyn, Ny, Us",1,0,0.16,0
