Trip_Type,Date,Day_of_week,Time,Duration_Seconds,Distance_Miles,Pickup_Location,Dropoff_Location,Points,Tip,Pickup_Waittime_Seconds,Surge,Rider_Rating
UberX,2/11/2026,Wednesday,5:48 PM,332,1.54,"John F. Kennedy International Airport (JFK), Queens, NY, US","Rockaway Blvd, Jamaica, NY, US",5,0.00,32,0.00,
UberX,2/11/2026,Wednesday,4:40 PM,3508,6.70,"Flatlands Ave, Brooklyn, NY, US","John F. Kennedy International Airport (JFK), Queens, NY, US",5,0.00,0,0.00,
UberX,2/11/2026,Wednesday,4:22 PM,294,0.42,"Ralph Ave, Brooklyn, NY, US","E 73rd St, Brooklyn, NY, US",5,0.00,140,0.00,
Electric,2/11/2026,Wednesday,3:18 PM,1499,2.83,"Ocean Ave, Brooklyn, NY, US","Mill Ave, Brooklyn, NY, US",5,3.00,0,2.00,
UberX,2/11/2026,Wednesday,2:46 PM,384,1.54,"Bedford Ave, Brooklyn, NY, US","Bragg St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/11/2026,Wednesday,2:33 PM,476,1.56,"Knapp St, Brooklyn, NY, US","E 22nd St, Brooklyn, NY, US",0,2.00,0,0.00,
UberX,2/11/2026,Wednesday,2:12 PM,851,2.08,"Quentin Rd, Brooklyn, NY, US","Gerritsen Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/11/2026,Wednesday,1:47 PM,1124,2.28,"55th St, Brooklyn, NY, US","Avenue P, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/11/2026,Wednesday,1:05 PM,1999,3.18,"Flatbush Ave, Brooklyn, NY, US","18th Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/11/2026,Wednesday,12:26 PM,1884,5.27,"Blake Ave, Brooklyn, NY, US","Kenilworth Pl, Brooklyn, NY, US",0,0.00,85,0.00,
UberX,2/12/2026,Thursday,6:15 PM,2306,6.59,"Cooper Ave, Glendale, NY, US","118th St, Richmond Hill, NY, US",5,0.00,0,0.00,
UberX,2/12/2026,Thursday,6:14 PM,225,0.57,"Myrtle Ave, Glendale, NY, US","72nd Pl, Ridgewood, NY, US",5,0.00,0,2.50,
Comfort,2/12/2026,Thursday,4:19 PM,1718,2.34,"W 14th St, New York, NY, US","Crosby St, 纽约, NY, US",5,0.00,0,0.00,
Comfort,2/12/2026,Thursday,4:01 PM,832,1.48,"W 26th St, New York, NY, US","W 14th St, New York, NY, US",5,0.00,0,2.25,
Business Comfort,2/12/2026,Thursday,3:33 PM,1121,2.54,"W 57th St, New York, NY, US","W 22nd St, New York, NY, US",5,0.00,0,1.75,
UberX,2/12/2026,Thursday,2:50 PM,1961,3.57,"E 88th St, New York, NY, US","W 51st St, New York, NY, US",5,4.51,0,0.00,
UberX,2/12/2026,Thursday,2:33 PM,1081,1.43,"E 72nd St, New York, NY, US","2nd Ave, New York, NY, US",0,0.00,0,0.00,
UberX,2/12/2026,Thursday,1:29 PM,3517,19.99,"Hancock St, Brooklyn, NY, US","E 72nd St, New York, NY, US",0,12.43,0,0.00,
Electric,2/13/2026,Friday,2:59 PM,4020,13.26,"Terminal 4, John F. Kennedy International Airport (JFK), Queens, NY, US","Degraw St, Brooklyn, NY, US",5,9.08,80,0.00,
UberX,2/13/2026,Friday,2:12 PM,1867,7.33,"Miller Ave, Brooklyn, NY, US","Terminal 4, John F. Kennedy International Airport (JFK), New York, NY, US",5,0.00,0,1.00,
UberX,2/13/2026,Friday,2:07 PM,324,0.79,"Milford St, Brooklyn, NY, US","Elton St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/13/2026,Friday,2:01 PM,156,0.41,"Warwick St, Brooklyn, NY, US","Pitkin Ave, Brooklyn, NY, US",5,0.00,0,0.94,
Electric,2/13/2026,Friday,11:46 AM,1500,5.49,"Pitkin Ave, Brooklyn, NY, US","Queens Blvd, Elmhurst, NY, US",5,0.00,0,0.00,
UberX,2/13/2026,Friday,8:45 AM,3900,18.89,"Rockaway Pkwy, Brooklyn, NY, US","Montague St, Brooklyn, NY, US",5,0.00,0,2.25,
UberX,2/13/2026,Friday,8:03 AM,910,2.19,"Sutter Ave, Brooklyn, NY, US","Ardsley Loop, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/13/2026,Friday,7:42 AM,682,1.26,"New Jersey Ave, Brooklyn, NY, US","Alabama Ave, Brooklyn, NY, US",5,0.00,0,2.75,
UberX,2/13/2026,Friday,7:18 AM,1283,2.98,"E 81st St, Brooklyn, NY, US","Pennsylvania Ave, Brooklyn, NY, US",0,0.00,0,1.25,
UberX,2/13/2026,Friday,7:13 AM,318,0.97,"E 86th St, Brooklyn, NY, US","Foster Ave, Brooklyn, NY, US",0,0.00,0,9.98,
UberX,2/13/2026,Friday,6:48 AM,1045,3.54,"Autumn Ave, Brooklyn, NY, US","Avenue D, Brooklyn, NY, US",0,0.00,0,0.00,
Comfort,2/14/2026,Saturday,3:41 PM,1174,2.87,"Bushwick Ave, Brooklyn, NY, US","Delancey St, New York City, NY, US",5,2.75,304,0.00,
UberX,2/14/2026,Saturday,2:52 PM,1515,3.18,"Fulton St, Brooklyn, NY, US","Bedford Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/14/2026,Saturday,2:39 PM,1233,3.31,"Bedford Ave, Brooklyn, NY, US","Fulton St, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,2/14/2026,Saturday,2:06 PM,1443,4.25,"Powell St, Brooklyn, NY, US","Cortelyou Rd, Brooklyn, NY, US",5,0.00,126,1.50,
UberX,2/14/2026,Saturday,1:50 PM,281,0.65,"Logan St, Brooklyn, NY, US","Pitkin Ave and Euclid Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/14/2026,Saturday,12:44 PM,2581,5.65,"Flushing Ave, Brooklyn, NY, US","Schroeders Ave, Brooklyn, NY, US",5,0.00,0,1.25,
UberX,2/14/2026,Saturday,12:43 PM,706,0.75,"Broadway, Brooklyn, NY, US","Flushing Ave, Brooklyn, NY, US",5,0.00,22,0.00,
UberX,2/14/2026,Saturday,12:19 PM,1214,2.90,"Nostrand Ave, Brooklyn, NY, US","Broadway, Brooklyn, NY, US",5,0.00,0,2.25,
UberX,2/14/2026,Saturday,11:46 AM,884,2.63,"Malcolm X Blvd, Brooklyn, NY, US","Crown St, Brooklyn, NY, US",5,0.00,0,1.75,
UberX,2/14/2026,Saturday,11:18 AM,2002,4.37,"Wortman Ave, Brooklyn, NY, US","Macon St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/14/2026,Saturday,11:06 AM,352,0.94,"Vandalia Ave, Brooklyn, NY, US","Wortman Ave, Brooklyn, NY, US",0,0.00,244,0.00,
UberX,2/14/2026,Saturday,10:56 AM,609,1.69,"Pitkin Ave and Euclid Ave, Brooklyn, NY, US","Vandalia Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/15/2026,Sunday,2:57 PM,2483,8.41,"70th Ave, Ridgewood, NY, US","W 53rd St, New York, NY, US",5,0.00,0,0.00,
UberX,2/15/2026,Sunday,2:29 PM,1467,3.92,"Ashford St, Brooklyn, NY, US","Myrtle Ave, Ridgewood, NY, US",5,0.00,0,0.00,
UberX,2/15/2026,Sunday,2:22 PM,556,1.50,"Linden Blvd, Brooklyn, NY, US","Ashford St and Livonia Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX VIP,2/15/2026,Sunday,12:54 PM,2882,16.59,"E 34th St, Brooklyn, NY, US","Grand Central Pkwy, Floral Park, NY, US",5,18.96,0,0.00,
Electric,2/15/2026,Sunday,12:36 PM,610,1.69,"Bedford Ave, Brooklyn, NY, US","Clarendon Rd, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/15/2026,Sunday,12:16 PM,1003,2.43,"Ashland Pl, Brooklyn, NY, US","Rogers Ave, Brooklyn, NY, US",5,3.44,0,3.25,
UberX,2/15/2026,Sunday,11:54 AM,1015,2.22,"Eastern Pkwy, Brooklyn, NY, US","City Point, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/15/2026,Sunday,11:21 AM,1310,3.45,"Broadway, Brooklyn, NY, US","Lincoln Pl, Brooklyn, NY, US",0,2.25,0,0.00,
UberX,2/15/2026,Sunday,11:07 AM,1011,3.00,"Ashford St, Brooklyn, NY, US","Hancock St, Brooklyn, NY, US",0,0.00,0,0.00,
Electric,2/15/2026,Sunday,10:40 AM,1043,3.48,"Eldert St, Brooklyn, NY, US","Cleveland St, Brooklyn, NY, US",0,0.00,0,0.00,
Electric,2/15/2026,Sunday,10:18 AM,786,2.70,"Gateway Dr, Brooklyn, NY, US","Miller Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/15/2026,Sunday,10:04 AM,514,1.89,"Blake Ave, Brooklyn, NY, US","Gateway Dr, Brooklyn, NY, US",0,0.00,169,0.00,
UberX,2/20/2026,Friday,10:34 AM,1891,3.42,"Fifth Ave, New York City, NY, US","W Broadway, New York City, NY, US",0,0.00,224,0.00,
UberX,2/20/2026,Friday,10:00 AM,1949,9.63,"Luquer St, Brooklyn, NY, US","Madison Ave, New York City, NY, US",0,7.32,0,0.00,
UberX,2/20/2026,Friday,9:17 AM,642,1.42,"Myrtle Ave, Brooklyn, NY, US","Schermerhorn St, Brooklyn, NY, US",5,3.00,3,0.00,
Electric,2/20/2026,Friday,9:10 AM,596,1.46,"Clinton St, Brooklyn, NY, US","Vanderbilt Ave, Brooklyn, NY, US",5,3.00,0,0.00,
UberX,2/20/2026,Friday,8:55 AM,766,1.30,"Ashland Pl, Brooklyn, NY, US","Court St, Brooklyn, NY, US",5,3.00,0,5.00,
Electric,2/20/2026,Friday,8:11 AM,1605,4.35,"Saint Marks Ave, Brooklyn, NY, US","Dekalb Ave, Brooklyn, NY, US",5,0.00,31,0.00,
UberX,2/20/2026,Friday,7:49 AM,982,2.31,"Fountain Ave, Brooklyn, NY, US","Amboy St, Brooklyn, NY, US",5,0.00,6,0.00,
UberX,2/20/2026,Friday,6:43 AM,2260,22.05,"W 138th St, New York, NY, US","226th St, Laurelton, NY, US",0,0.00,311,1.25,
UberX,2/20/2026,Friday,6:17 AM,1185,9.67,"39th Ave, Corona, NY, US","W 145 St, New York City, NY, US",0,0.00,0,0.00,
UberX,2/20/2026,Friday,5:57 AM,1138,9.35,"Hooper St, Brooklyn, NY, US","35th Ave, Corona, NY, US",0,3.00,0,0.00,
UberX,2/20/2026,Friday,5:31 AM,1336,5.31,"Autumn Ave, Brooklyn, NY, US","Varet St, Brooklyn, NY, US",0,2.94,0,0.00,
UberX,2/21/2026,Saturday,9:50 PM,969,3.32,"Lorimer St, Brooklyn, NY, US","46th St, Sunnyside, NY, US",5,0.00,0,0.00,
UberX,2/21/2026,Saturday,9:42 PM,242,0.49,"Bedford Ave, Brooklyn, NY, US","N 9th St, Brooklyn, NY, US",5,1.00,0,0.00,
UberX,2/21/2026,Saturday,9:33 PM,263,0.54,"N 5th St, Brooklyn, NY, US","530 Driggs Ave, Brooklyn, NY, US",5,0.00,3,0.00,
UberX,2/21/2026,Saturday,9:06 PM,1385,2.54,"Harrison Pl, Brooklyn, NY, US","N Fourth Pl, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/21/2026,Saturday,8:58 PM,352,1.24,"Greene Ave, Brooklyn, NY, US","Knickerbocker Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/21/2026,Saturday,8:36 PM,1006,3.93,"Dupont St, Brooklyn, NY, US","Wyckoff Ave, Brooklyn, NY, US",5,1.00,0,0.00,
UberX,2/21/2026,Saturday,8:23 PM,567,2.04,"Grand St, Brooklyn, NY, US","Box St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/21/2026,Saturday,7:59 PM,1166,3.37,"City Point, Brooklyn, NY, US","S 2nd St, Brooklyn, NY, US",5,0.00,0,1.75,
UberX,2/21/2026,Saturday,7:38 PM,678,1.82,"Macdougal St, New York City, NY, US","Nassau St, New York, NY, US",5,0.00,0,1.75,
UberX,2/21/2026,Saturday,7:22 PM,621,1.09,"Charles St, New York, NY, US","Macdougal St, New York City, NY, US",5,0.00,0,2.00,
UberX,2/21/2026,Saturday,6:28 PM,2700,10.45,"Riverdale Ave, Brooklyn, NY, US","West St, New York, NY, US",5,0.00,0,2.25,
UberX,2/21/2026,Saturday,6:15 PM,884,2.43,"Cleveland St, Brooklyn, NY, US","Newport St, Brooklyn, NY, US",5,0.00,0,0.00,
Electric,2/21/2026,Saturday,2:58 PM,3004,6.84,"Drew St, Brooklyn, NY, US","S 2nd St, Brooklyn, NY, US",5,0.00,106,0.00,
Business Comfort,2/21/2026,Saturday,1:41 PM,1828,5.43,"N Conduit Ave, Jamaica, NY, US","Green Acres Rd, Valley Stream, NY, US",5,0.00,0,0.00,
UberX,2/21/2026,Saturday,1:13 PM,808,5.94,"Autumn Ave, Brooklyn, NY, US","N Boundary Rd, Jamaica, NY, US",5,0.00,19,0.00,
Comfort,2/26/2026,Thursday,2:30 PM,3780,17.49,"103rd St, Jamaica, NY, US","Saint Marks Pl, New York, NY, US",5,0.00,0,0.00,
Electric,2/26/2026,Thursday,2:08 PM,559,2.57,"Loring Ave, Brooklyn, NY, US","John F. Kennedy International Airport (JFK), Queens, NY, US",0,0.00,0,0.00,
UberX,2/27/2026,Friday,10:58 AM,246,0.46,"E 224th St, Bronx, NY, US","White Plains Rd, Bronx, NY, US",0,0.00,135,0.00,
UberX,2/27/2026,Friday,10:44 AM,495,1.88,"Seton Ave, Bronx, NY, US","Schieffelin Ave, Bronx, NY, US",0,0.00,0,0.00,
UberX,2/27/2026,Friday,10:25 AM,753,2.35,"Mickle Ave, Bronx, NY, US","Seton Ave, Bronx, NY, US",0,0.00,0,0.00,
UberX,2/27/2026,Friday,9:59 AM,505,1.59,"Tecumseh Ave, Mount Vernon, NY, US","Dyre Ave, Bronx, NY, US",5,0.00,7,1.75,
UberX,2/27/2026,Friday,9:15 AM,2292,17.18,"Fresh Pond Rd, Ridgewood, NY, US","S Columbus Ave, Mount Vernon, NY, US",5,0.00,130,0.00,
UberX,2/27/2026,Friday,8:38 AM,1995,10.16,"Terminal C | Express Dropoff, Checked-In, LaGuardia Airport (LGA), Queens, NY, US","Fresh Pond Rd, Ridgewood, NY, US",5,0.00,0,0.00,
UberX,2/27/2026,Friday,7:54 AM,2254,7.82,"W 56th St, New York City, NY, US","Terminal B, LaGuardia Airport (LGA), Queens, NY, US",5,8.15,0,0.00,
Comfort Electric,2/27/2026,Friday,7:40 AM,812,1.53,"3rd Ave, New York, NY, US","W 56th St, New York City, NY, US",0,0.00,0,0.00,
UberX,2/27/2026,Friday,7:22 AM,497,1.45,"1st Ave, New York, NY, US","Park Ave, New York, NY, US",0,3.00,0,0.00,
UberX,2/27/2026,Friday,6:51 AM,1346,6.23,"Main St, New York, NY, US","FDR Dr, New York, NY, US",0,0.00,0,0.00,
UberX,2/27/2026,Friday,6:11 AM,1427,4.74,"Dekalb Ave, Brooklyn, NY, US","11th St, Long Island City, NY, US",0,0.00,10,2.25,
UberX,2/27/2026,Friday,5:36 AM,1919,5.52,"Eldert Ln, Brooklyn, NY, US","Broadway, New York City, NY, US",0,0.00,0,0.00,
UberX,3/2/2026,Monday,3:45 PM,1892,6.17,"Quincy St, Brooklyn, NY, US","W 30th St, New York, NY, US",5,0.00,0,0.00,
UberX,3/2/2026,Monday,2:22 PM,2293,4.48,"Lafayette Ave, Brooklyn, NY, US","5th Ave, Brooklyn, NY, US",5,5.00,0,0.00,
UberX,3/2/2026,Monday,1:48 PM,1854,4.03,"Williams Ave, Brooklyn, NY, US","Lafayette Ave, Brooklyn, NY, US",0,0.00,98,0.00,
UberX,3/2/2026,Monday,1:03 PM,1195,3.55,"E 34th St, Brooklyn, NY, US","E 101st St, Brooklyn, NY, US",0,0.00,5,0.00,
UberX,3/2/2026,Monday,12:20 PM,1823,5.34,"Euclid Ave, Brooklyn, NY, US","Flatbush Ave, Brooklyn, NY, US",0,0.00,46,0.00,
Electric,3/2/2026,Monday,1:26 PM,936,2.77,"Avenue J, Brooklyn, NY, US","Alabama Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/4/2026,Wednesday,2:42 PM,519,1.48,"Ocean Pkwy, Brooklyn, NY, US","Prospect Park W, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,3/4/2026,Wednesday,1:51 PM,2557,6.22,"Shepherd Ave, Brooklyn, NY, US","Beverley Rd, Brooklyn, NY, US",0,0.00,0,0.00,
